Word;EN title;EN Indication;EN Definition
nakkamtu;nakkamtu;[City → Administration];"1) treasure , stores , treasury , storehouse ; bīt nakkamtu : a storehouse , a depot ; 2) reserves for horses ;"
-(ak)ka;"-(ak)ka  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";to you (masculine singular), for you, towards you, for your benefit / harm;
-(ak)ki;"-(ak)ki  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";for you (feminine singular), to you, towards you, for your benefit / harm;
-(ak)kina;"-(ak)kina  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";for you (feminine plural), to you, towards you, to your profit / harm;
-(ak)kunu;"-(ak)kunu  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";for you (masculine plural), to you, towards you, to your benefit / harm;
(am)mar (ša);(am)mar (ša)  (indefinite collective pronoun);"all that, everyone who ; rabiūti mar ša illakūninni all the magnates who are coming";
-(an)nāši;"-(an)nāši  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";for us, to us, towards us, to our benefit / harm;
-(an)ni;"-(an)ni  (pronominal suffix accentuated / dative ; action is carried out on / for the subject)";for me, to me, towards me;
-(aš)ši;"-(aš)ši  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";for her, to her, towards her;
-(aš)šina;"-(aš)šina  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";for them (feminine plural), to them, towards them, to their profit / harm;
-(aš)šu;"-(aš)šu  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";for him, to him, towards him;
-(aš)šunu;"-(aš)šunu  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";for them (masculine plural), to them, towards them, to their profit / harm;
(ša) abni;(ša) abni;[Nature → Minerals];"rocky ;"
(ša) ēṣi;(ša) ēṣi;[Country → Trees];"woody ;"
(ša) kušīri;(ša) kušīri;[Industry];"useful ;"
(ša) ṭupšarrūti;(ša) ṭupšarrūti;[Humanities → Language];"scribal , clerical ;"
(w)arāqu(m);(w)arāqu(m)  [SIG7 : ];[Colors];"1) to be(come) green / yellow ; 2) face, fluid, fruit, star ... : to become pale , to pale , to turn wan ; : Š : to gild ;"
(w)erû;(w)erû  [URUDU.MEŠ : ]  ( : eru ' um : [URUDU.ḪI.A : ] / [NA4.URUDU : ]);[Nature → Minerals];"copper ; : šad erû copper ore / mountain [NA4 : ] copper , [NA4.URUDU : ] ;"
*iššû;*iššû  (pronom possessif 3ème personne singulier 3rd person singular possessive pronoun);his, (hers ?);
ṭabiu;ṭabiu;[Transport → Sea];"sunken , hollow (?) , boat ...? : sunk / submerged ;"
ṭābtānu;ṭābtānu;[Moral life → Quality];"1) benefactor , bounteous , charitable , doer of good , generous , liberal , open-handed ; lā ṭābtānu : malefactor , criminal , felon , evil-doer , wrong-doer , villain , culprit , miscreant , offender ; 2) noun : a benefactor , a sponsor (?) ;"
