Word;FR title;FR Indication;FR Definition
nakkamtu;nakkamtu;[Ville → Administration];"1) trésor , réserves , trésorerie , magasin ; bīt nakkamtu : un magasin , un entrepôt , un dépôt ; 2) les réserves pour les chevaux ;"
-(ak)ka;"-(ak)ka  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à toi (masculin singulier), pour toi, à ton égard, envers toi, vis-à-vis de toi, à ton intention;
-(ak)ki;"-(ak)ki  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à toi (féminin singulier), pour toi, à ton égard, envers toi, vis-à-vis de toi, à ton profit / préjudice;
-(ak)kina;"-(ak)kina  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à vous (féminin pluriel), pour vous, envers vous, vis-à-vis de vous, à votre profit / encontre;
-(ak)kunu;"-(ak)kunu  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à vous (masculin pluriel), pour vous, envers vous, vis-à-vis de vous, à votre profit / encontre;
(am)mar (ša);(am)mar (ša)  (pronom indéfini collectif);"tout ce qui, tout ce que, tous les,toutes les, tout le monde, quiconque ; rabiūti mar ša illakūninni tous les grands personnages qui viennent";
-(an)nāši;"-(an)nāši  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à nous, pour nous, envers nous, vis-à-vis de nous, à notre profit / encontre;
-(an)ni;"-(an)ni  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à moi, pour moi, vis-à-vis de moi, envers moi, à mon intention;
-(aš)ši;"-(aš)ši  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à elle, pour elle, envers elle, vis-à-vis d'elle, à son profit / encontre;
-(aš)šina;"-(aš)šina  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à elles, pour elles, envers elles, vis-à-vis d'elles, à leur profit / encontre;
-(aš)šu;"-(aš)šu  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à lui, pour lui, envers lui, vis-à-vis de lui;
-(aš)šunu;"-(aš)šunu  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";à eux (masculin pluriel), pour eux, envers eux, vis-à-vis d'eux, à leur profit / encontre;
(ša) abni;(ša) abni;[Nature → Minéraux];"rocheux , rocailleux , de roc ;"
(ša) ēṣi;(ša) ēṣi;[Campagne → Arbres];"boisé , ligneux , de bois ;"
(ša) kušīri;(ša) kušīri;[Industrie];"utile , avantageux (?) ;"
(ša) ṭupšarrūti;(ša) ṭupšarrūti;[Lettres → Langage];"de scribe , relatif à la fonction de scribe / secrétaire , clérical ;"
(w)arāqu(m);(w)arāqu(m)  [SIG7 : ];[Couleurs];"1) être vert , être jaune , verdir , jaunir , devenir vert / jaune ; 2) visage, liquide, fruit, étoile ... : pâlir , devenir pâle ; : Š : dorer ;"
(w)erû;(w)erû  [URUDU.MEŠ : ]  ( : eru ' um : [URUDU.ḪI.A : ] / [NA4.URUDU : ]);[Nature → Minéraux];"le cuivre ; : šad erû le minerai de cuivre / cuivre des montagnes[NA4 : ] , [NA4.URUDU : ] ;"
*iššû;*iššû  (pronom possessif 3ème personne singulier 3rd person singular possessive pronoun);le sien (à lui, -à elle ?-);
ṭabiu;ṭabiu;[Transport → Maritime];"enfoncé , creux (?) , bateau ... : coulé / submergé ;"
ṭābtānu;ṭābtānu;[Vie morale → Qualités];"1) faiseur de bien , bienfaiteur , généreux ; lā ṭābtānu : malfaisant , malveillant , felon , coupable , délinquant ; 2) nom : un bienfaiteur , un mécène (?) , un protecteur (?) ;"
ṭābu;ṭābu  [DÙG : ]  (adj.);[Vie morale → Qualités];"1) bon, agréable, fin , exquis , qui a bon goût , délicieux , aromatique / qui sent bon , doux , frais ; 2) plaisant , agréable , satisfaisant , convenable , confortable ; 3) gentil , amical , sympathique , content , satisfait , bienveillant , gracieux , bien-intentionné , favorable , opportun -moment- ; 4) favorable , opportun -moment- , avantageux , profitable , utile , facile ; lā ṭābu : déplaisant , mal-à-propos / tombant au mauvais moment / inopportun , insipide , sans goût / saveur , inconfortable , malsain , pas gentil / méchant , inutile ; ša ana epāši ṭābūni : praticable , viable ; šamnu ṭābu : huile parfumée , un parfum ;"
ṭarāru;ṭarāru  ();[Humain → Corps];"G statif : être barbu , avoir une barbe / porter une barbe ;"
ṭarīru;ṭarīru  ();[Humain → Corps];"un barbu , une personne avec une barbe ;"
ṭarkullu;ṭarkullu;[Transport → Maritime];"1) une amarre , une aussière ; 2) un bollard , une bitte / un poteau d'amarrage ; 3) un poteau , un mât ;"
ṭarrūtum;ṭarrūtum  ();[Humain → Corps];"le fait d'être barbu , le port de la barbe / la pilosité au menton ;"
ṭātu;ṭātu  (aussi : ṭa ' tu);[Ville → Administration];"1) : un pot de vin , bakshish ; 2) : un cadeau à un roi , un présent volontaire / de bonne foi à un roi ; 3) : paiement des droits de douane ; šāqil dāti(m) : membre d'un groupe influent ;"
ṭebû;ṭebû  [SUD : ]  (vb. u/u);[Transport → Maritime];"G. couler (v.i.) ; être submergé, se noyer D. couler (v.t.), submerger ; faire disparaître, supprimer une tablette, une affaire; stat. : être déprimé ; : bâtiment dans le sol : s'enfoncer ;"
ṭēbû;ṭēbû  (féminin : ṭēbītu);"1) : un constructeur subaquatique (?) ; 2) : ṭēbītu(m) : un bateau / navire à grand tirant d'eau ;";Cf. ṭebû, ṭabiu
ṭēbūtu;ṭēbūtu;"la bienfaisance , la bonté , le bien , la grâce accordée , la gentillesse ;";Cf. ṭābtu, ṭēbūtu, tābtānu
ṭeḫû;ṭeḫû  [TE : , DA : ]  (vb. e/e);"1) s'approcher , approcher , aborder (quelqu'un) , accoster (quelqu'un) ; 2) connaître sexuellement , coucher (sexuellement) avec , copuler , baiser ; 3) (D) offrir , faire cadeau ; 4) nom : la proximité immédiate , le voisinage immédiat ;";Cf. ṭaḫû, ṭēḫi
ṭēhu;ṭēhu;"accoster , aborder , approcher importunément , s'adresser agressivement à , prostituée ... : racoler ;";
ṭiābu;ṭiābu  [DÙG : , DÙG.GA : ]  (vb. a/i);"G. être bon, en bonne santé ; être amical (envers qqn : +eli, ana) D. rendre bon, améliorer, bonifier ; 2) être devenir utile , servir ;";Cf. ṭiābu, ṭubbātiš, ṭābu
