Word;FR title;EN title;FR Indication;EN Indication;FR Definition;EN Definition
nakkamtu;nakkamtu;nakkamtu;[Ville → Administration];[City → Administration];"1) trésor , réserves , trésorerie , magasin ; bīt nakkamtu : un magasin , un entrepôt , un dépôt ; 2) les réserves pour les chevaux ;";"1) treasure , stores , treasury , storehouse ; bīt nakkamtu : a storehouse , a depot ; 2) reserves for horses ;"
-(ak)ka;"-(ak)ka  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(ak)ka  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";à toi (masculin singulier), pour toi, à ton égard, envers toi, vis-à-vis de toi, à ton intention;to you (masculine singular), for you, towards you, for your benefit / harm;;
-(ak)ki;"-(ak)ki  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(ak)ki  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";à toi (féminin singulier), pour toi, à ton égard, envers toi, vis-à-vis de toi, à ton profit / préjudice;for you (feminine singular), to you, towards you, for your benefit / harm;;
-(ak)kina;"-(ak)kina  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(ak)kina  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";à vous (féminin pluriel), pour vous, envers vous, vis-à-vis de vous, à votre profit / encontre;for you (feminine plural), to you, towards you, to your profit / harm;;
-(ak)kunu;"-(ak)kunu  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(ak)kunu  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";à vous (masculin pluriel), pour vous, envers vous, vis-à-vis de vous, à votre profit / encontre;for you (masculine plural), to you, towards you, to your benefit / harm;;
(am)mar (ša);(am)mar (ša)  (pronom indéfini collectif);(am)mar (ša)  (indefinite collective pronoun);"tout ce qui, tout ce que, tous les,toutes les, tout le monde, quiconque ; rabiūti mar ša illakūninni tous les grands personnages qui viennent";"all that, everyone who ; rabiūti mar ša illakūninni all the magnates who are coming";;
-(an)nāši;"-(an)nāši  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(an)nāši  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";à nous, pour nous, envers nous, vis-à-vis de nous, à notre profit / encontre;for us, to us, towards us, to our benefit / harm;;
-(an)ni;"-(an)ni  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(an)ni  (pronominal suffix accentuated / dative ; action is carried out on / for the subject)";à moi, pour moi, vis-à-vis de moi, envers moi, à mon intention;for me, to me, towards me;;
-(aš)ši;"-(aš)ši  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(aš)ši  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";à elle, pour elle, envers elle, vis-à-vis d'elle, à son profit / encontre;for her, to her, towards her;;
-(aš)šina;"-(aš)šina  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(aš)šina  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";à elles, pour elles, envers elles, vis-à-vis d'elles, à leur profit / encontre;for them (feminine plural), to them, towards them, to their profit / harm;;
